site_id,device_id,event_time,available_at,metric,value,unit,quality
gb-london-reference,open-meteo-grid,2026-08-01T00:00:00Z,2026-08-06T12:46:02Z,air_temperature,19.8,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T01:00:00Z,2026-08-06T12:46:02Z,air_temperature,18.9,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T02:00:00Z,2026-08-06T12:46:02Z,air_temperature,17.9,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T03:00:00Z,2026-08-06T12:46:02Z,air_temperature,17.1,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T04:00:00Z,2026-08-06T12:46:02Z,air_temperature,16.5,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T05:00:00Z,2026-08-06T12:46:02Z,air_temperature,16.1,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T06:00:00Z,2026-08-06T12:46:02Z,air_temperature,16.4,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T07:00:00Z,2026-08-06T12:46:02Z,air_temperature,17.7,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T08:00:00Z,2026-08-06T12:46:02Z,air_temperature,19.3,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T09:00:00Z,2026-08-06T12:46:02Z,air_temperature,20.8,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T10:00:00Z,2026-08-06T12:46:02Z,air_temperature,22.1,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T11:00:00Z,2026-08-06T12:46:02Z,air_temperature,23.1,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T12:00:00Z,2026-08-06T12:46:02Z,air_temperature,24.3,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T13:00:00Z,2026-08-06T12:46:02Z,air_temperature,25,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T14:00:00Z,2026-08-06T12:46:02Z,air_temperature,25.5,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T15:00:00Z,2026-08-06T12:46:02Z,air_temperature,25.9,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T16:00:00Z,2026-08-06T12:46:02Z,air_temperature,26.4,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T17:00:00Z,2026-08-06T12:46:02Z,air_temperature,26.2,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T18:00:00Z,2026-08-06T12:46:02Z,air_temperature,25.4,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T19:00:00Z,2026-08-06T12:46:02Z,air_temperature,24.3,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T20:00:00Z,2026-08-06T12:46:02Z,air_temperature,23.3,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T21:00:00Z,2026-08-06T12:46:02Z,air_temperature,22.7,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T22:00:00Z,2026-08-06T12:46:02Z,air_temperature,21.8,degC,estimated
gb-london-reference,open-meteo-grid,2026-08-01T23:00:00Z,2026-08-06T12:46:02Z,air_temperature,21.2,degC,estimated
